id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
281,7,7,7,1,1,1,7,7,6,1,1,1,6,5,6,1,1,1
282,7,6,6,2,2,2,5,7,5,5,5,3,2,1,1,1,1,2
283,7,6,5,3,4,4,4,2,3,5,7,6,4,5,4,5,3,4
284,5,7,4,6,5,1,5,5,6,2,1,1,1,4,2,7,6,4
285,6,5,3,2,5,4,5,5,6,5,5,5,4,3,1,6,1,7
286,5,6,5,3,5,3,6,6,5,2,2,2,5,5,4,2,2,3
287,7,7,7,1,1,1,7,7,7,4,2,2,7,7,7,1,1,2
288,7,7,7,1,2,1,6,6,2,1,4,2,1,1,1,1,1,4
289,2,7,4,5,1,1,6,7,7,1,1,1,1,6,4,1,1,1
290,6,6,6,2,5,5,6,6,6,2,2,3,2,2,2,2,2,2
291,5,5,4,5,5,4,5,5,3,1,1,1,1,1,2,5,1,1
292,7,7,7,1,5,5,6,7,4,6,7,6,4,6,5,1,1,1
293,6,6,6,3,1,2,7,6,6,1,2,1,2,3,1,1,1,3
294,5,5,2,5,5,6,5,5,5,5,4,7,1,2,1,7,7,7
295,6,7,7,1,1,1,7,7,7,1,1,1,4,4,4,1,1,1
296,4,5,5,4,3,4,5,6,6,4,5,4,2,3,5,1,2,2
297,6,7,6,2,3,3,6,6,7,2,2,2,6,6,4,1,1,4
298,5,5,2,4,4,2,1,4,3,2,4,1,1,1,1,1,1,1
299,4,5,3,5,4,5,5,5,5,3,5,4,1,1,1,1,1,1
300,5,5,5,3,3,3,5,5,5,2,2,1,5,4,4,1,2,1
301,7,7,7,1,1,1,6,6,7,1,1,1,7,7,6,1,1,1
302,7,6,7,2,1,3,6,7,7,4,7,2,5,5,4,4,4,4
303,7,7,7,5,5,2,7,7,7,1,2,1,1,1,1,1,1,1
304,4,4,5,4,5,5,5,4,5,2,4,3,3,3,2,4,4,4
305,6,6,5,5,6,4,6,6,5,5,2,5,1,1,1,1,1,2
306,2,1,2,2,2,2,2,7,2,5,7,7,1,1,1,7,1,6
307,6,7,7,1,1,1,6,7,7,1,2,1,5,5,2,1,1,1
308,4,7,2,1,5,4,4,4,5,5,1,4,1,1,1,5,1,7
309,5,5,6,5,4,2,5,5,5,3,5,3,5,5,3,6,5,6
310,7,7,7,1,2,2,4,7,7,1,1,1,3,2,6,1,1,1
311,7,7,7,2,1,1,7,7,7,1,1,1,2,2,1,1,1,1
312,3,3,4,5,5,6,3,3,3,6,5,7,2,2,1,7,4,5
313,4,5,4,2,4,3,5,6,4,2,2,1,4,5,4,1,1,1
314,5,5,5,3,3,4,6,5,4,5,5,5,4,4,4,4,2,6
315,6,7,6,5,2,4,7,7,6,2,1,1,7,7,6,2,1,7
316,5,4,4,5,4,5,3,3,3,5,6,6,2,3,2,7,6,6
317,7,6,6,5,5,5,5,5,6,5,5,4,4,4,4,5,4,5
318,4,1,3,6,7,7,1,2,2,2,3,6,6,4,1,4,2,1
319,2,4,6,1,3,2,5,5,5,4,1,3,5,2,1,1,1,4
320,5,7,7,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6
321,2,1,1,7,7,7,7,7,7,5,4,3,5,5,6,1,1,1
322,5,6,4,2,2,2,5,4,4,2,2,3,2,2,2,7,5,5
323,5,4,4,5,6,4,5,3,4,3,4,3,1,1,1,1,1,1
324,4,4,4,6,6,5,5,5,4,2,3,3,2,2,3,1,4,4
325,7,7,5,1,1,5,7,6,5,6,5,3,1,1,2,1,4,1
326,5,5,5,4,2,1,5,5,7,3,3,1,1,1,1,7,2,1
327,5,4,4,4,3,3,6,5,5,2,4,3,5,5,5,5,3,3
328,6,5,5,4,2,2,7,4,5,2,2,2,4,4,4,1,4,4
329,7,7,7,1,1,1,6,7,7,1,1,1,5,6,6,1,1,1
330,5,6,5,4,2,3,6,6,6,3,2,3,4,4,4,4,4,4
331,3,5,5,5,4,4,5,5,4,3,4,3,5,5,3,5,2,2
332,6,2,5,3,6,7,4,5,6,4,5,6,3,2,2,3,2,1
333,6,7,5,2,3,3,4,5,6,4,3,1,2,3,2,1,1,2
334,6,7,7,2,2,3,6,6,6,3,2,3,6,4,4,1,1,2
335,7,7,6,2,5,2,7,7,7,2,2,2,2,2,2,3,2,3
336,6,6,6,2,2,2,6,6,5,2,2,2,2,2,1,1,2,3
337,7,7,7,5,1,2,7,7,6,1,2,1,1,1,1,1,4,1
338,6,5,7,6,3,5,6,6,6,6,4,1,4,2,5,1,1,2
339,7,6,6,3,2,3,5,6,2,2,3,2,1,1,1,5,2,3
340,6,6,6,2,1,2,6,6,6,3,3,3,4,5,4,2,2,2
341,6,7,5,5,3,4,5,5,5,1,4,3,5,5,4,5,3,3
342,4,6,5,5,6,5,6,7,6,5,6,6,2,2,1,7,4,6
343,4,7,7,6,4,5,7,7,7,1,7,1,1,2,1,1,1,4
344,6,6,6,5,4,6,5,5,6,2,1,2,5,5,5,1,1,1
345,7,7,7,2,2,3,5,5,7,5,5,3,7,7,6,2,1,2
346,6,7,6,1,3,2,5,5,4,1,1,1,2,1,4,1,1,1
347,5,6,5,3,3,5,6,6,5,2,2,1,2,2,3,2,2,6
348,3,2,5,5,3,5,5,6,5,2,3,1,5,1,1,1,1,2
349,3,3,5,2,1,1,7,7,7,1,1,1,1,5,6,1,1,1
350,6,5,4,1,1,1,4,6,6,1,3,1,3,2,1,1,1,1
351,5,7,5,7,2,5,3,5,5,2,4,6,1,6,5,4,1,1
352,7,3,4,1,5,2,7,5,7,6,7,6,2,6,3,7,3,3
353,5,6,4,5,5,5,4,5,6,5,3,6,3,5,5,3,2,2
