Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea9e9eefa394f02600be7,6172565eadc997827ec98b06,APPROVED,2023-04-18T14:32:09.952000Z,2023-04-18T14:43:43.192000Z,2023-04-18T15:57:06.397000,2023-04-18T14:43:43.582858Z,694,C1I6GZK1,73,6-9 hours,19,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
643ea9ed73c40cc15ad70c53,5c44f101a5487b00011d122e,APPROVED,2023-04-18T14:32:13.577000Z,2023-04-18T14:38:30.781000Z,2023-04-18T15:57:06.517000,2023-04-18T14:38:31.349746Z,378,C1I6GZK1,272,0-3 hours,42,Male,White,Greece,Greece,Greece,Greek,No,DATA_EXPIRED
643ea9f0876115812320e923,5d069530ad18d40019bb768f,APPROVED,2023-04-18T14:32:16.549000Z,2023-04-18T14:37:24.853000Z,2023-04-18T15:57:06.638000,2023-04-18T14:37:25.318217Z,309,C1I6GZK1,431,10-12 hours,29,Male,White,Greece,Greece,Greece,Greek,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643ea9f142e2c576f06c5be3,5cb40e0b717f4600015e7392,APPROVED,2023-04-18T14:32:22.634000Z,2023-04-18T14:42:36.125000Z,2023-04-18T15:57:17.190000,2023-04-18T14:42:36.579058Z,614,C1I6GZK1,403,10-12 hours,32,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
643ea9f210128169509ddddb,632b2d338361d67900661d07,APPROVED,2023-04-18T14:32:21.570000Z,2023-04-18T14:36:34.514000Z,2023-04-18T15:57:06.775000,2023-04-18T14:36:34.927882Z,253,C1I6GZK1,252,3-6 hours,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
643ea9f73d7bf4ba817b9f9a,5e19e188913e52263e3b2d9d,APPROVED,2023-04-18T14:32:27.261000Z,2023-04-18T14:46:14.872000Z,2023-04-18T15:57:06.894000,2023-04-18T14:46:26.157240Z,828,C1I6GZK1,143,3-6 hours,26,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
643eaa01d643e6a2f8bb4ed2,5dd90c31238a9189593ebd4d,APPROVED,2023-04-18T14:32:33.321000Z,2023-04-18T14:42:06.178000Z,2023-04-18T15:57:17.308000,2023-04-18T14:42:06.626393Z,573,C1I6GZK1,181,0-3 hours,22,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
643eaa0ca915c0b63bc0d217,6157481bc73bba8566fed3be,APPROVED,2023-04-18T14:32:44.678000Z,2023-04-18T14:45:55.705000Z,2023-04-18T15:57:07.014000,2023-04-18T14:46:01.708627Z,792,C1I6GZK1,102,3-6 hours,19,Male,White,Poland,Poland,Poland,Polish,No,DATA_EXPIRED
643eaa174dc47b42190e1a8a,5e6a2b48a07d4307b963e797,APPROVED,2023-04-18T14:32:55.798000Z,2023-04-18T14:38:10.229000Z,2023-04-18T15:57:07.145000,2023-04-18T14:38:11.828151Z,315,C1I6GZK1,69,13 hours or more,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
643eaa1f6e20805d760e1a33,60a7657a79f3876617046f93,APPROVED,2023-04-18T14:33:03.426000Z,2023-04-18T14:54:06.385000Z,2023-04-18T15:57:17.426000,2023-04-18T14:54:06.851320Z,1263,C1I6GZK1,130,13 hours or more,21,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
